epoch,split,loss,acc,rpd,polar,psnr_qtls,psnr_mean,inv_lap,l1,l2
0,train,5.978718e+01,0.249375,1.478415e+00,1.662541e-01,"[-5.055, 9.688, 15.634, 19.979, 29.324]",14.635703,4.253743e+00,5.113869e+01,2.161786e+01
0,val,8.449243e+01,0.013333,1.948608e+00,2.039618e-01,"[3.346, 11.459, 13.346, 14.069, 20.684]",13.186640,1.715327e+00,6.409418e+01,2.604477e+01
1,train,5.480899e+01,0.257083,1.375694e+00,1.560009e-01,"[-4.656, 10.051, 16.025, 20.107, 30.472]",14.880053,9.899207e-01,4.909206e+01,2.088747e+01
1,val,5.977235e+01,0.041667,1.555295e+00,1.727953e-01,"[0.932, 12.681, 13.699, 16.280, 23.368]",13.890733,1.255116e+00,5.393784e+01,2.261911e+01
